repo,package_name,dependency_type,dependency,version_spec,min_version
databricks-ai-bridge,agent-obo-test,build,hatchling,,
databricks-ai-bridge,databricks-ai-bridge,build,hatchling,,
databricks-ai-bridge,databricks-dspy,build,hatchling,,
databricks-ai-bridge,databricks-langchain,build,hatchling,,
databricks-ai-bridge,databricks-llamaindex,build,hatchling,,
databricks-ai-bridge,databricks-mcp,build,hatchling,,
databricks-ai-bridge,databricks-openai,build,hatchling,,
databricks-ai-bridge,@databricks/langchainjs,dependencies,@ai-sdk/provider,^3.0.0,3.0.0
databricks-ai-bridge,@databricks/langchainjs,dependencies,@ai-sdk/provider-utils,^4.0.0,4.0.0
databricks-ai-bridge,@databricks/langchainjs,dependencies,@databricks/ai-sdk-provider,^0.5.1,0.5.1
databricks-ai-bridge,@databricks/langchainjs,dependencies,@databricks/sdk-experimental,^0.15.0,0.15.0
databricks-ai-bridge,@databricks/langchainjs,dependencies,@langchain/core,^1.1.8,1.1.8
databricks-ai-bridge,@databricks/langchainjs,dependencies,@langchain/mcp-adapters,^1.1.1,1.1.1
databricks-ai-bridge,@databricks/langchainjs,dependencies,ai,^6.0.0,6.0.0
databricks-ai-bridge,agent-obo-test,dependencies,databricks-agents,,
databricks-ai-bridge,databricks-langchain,dependencies,databricks-ai-bridge,>=0.17.0,0.17.0
databricks-ai-bridge,databricks-llamaindex,dependencies,databricks-ai-bridge,>=0.1.0,0.1.0
databricks-ai-bridge,databricks-mcp,dependencies,databricks-ai-bridge,>=0.4.2,0.4.2
databricks-ai-bridge,databricks-openai,dependencies,databricks-ai-bridge,>=0.17.0,0.17.0
databricks-ai-bridge,databricks-langchain,dependencies,databricks-mcp,>=0.5.1,0.5.1
databricks-ai-bridge,databricks-openai,dependencies,databricks-mcp,>=0.4.0,0.4.0
databricks-ai-bridge,agent-obo-test,dependencies,databricks-openai,>=0.9.0,0.9.0
databricks-ai-bridge,databricks-langchain,dependencies,databricks-openai,>=0.9.0,0.9.0
databricks-ai-bridge,databricks-ai-bridge,dependencies,databricks-sdk,>=0.49.0,0.49.0
databricks-ai-bridge,databricks-dspy,dependencies,databricks-sdk,>=0.58.0,0.58.0
databricks-ai-bridge,databricks-langchain,dependencies,databricks-sdk,>=0.65.0,0.65.0
databricks-ai-bridge,databricks-mcp,dependencies,databricks-sdk,>=0.49.0,0.49.0
databricks-ai-bridge,databricks-ai-bridge,dependencies,databricks-vectorsearch,>=0.57,
databricks-ai-bridge,databricks-langchain,dependencies,databricks-vectorsearch,>=0.50,
databricks-ai-bridge,databricks-llamaindex,dependencies,databricks-vectorsearch,>=0.40,
databricks-ai-bridge,databricks-openai,dependencies,databricks-vectorsearch,>=0.50,
databricks-ai-bridge,databricks-dspy,dependencies,dspy,>=2.6.27,2.6.27
databricks-ai-bridge,agent-obo-test,dependencies,fastapi,>=0.115.12,0.115.12
databricks-ai-bridge,databricks-langchain,dependencies,langchain,>=1.0.0,1.0.0
databricks-ai-bridge,databricks-langchain,dependencies,langchain-mcp-adapters,>=0.1.13,0.1.13
databricks-ai-bridge,databricks-llamaindex,dependencies,llama-index,>=0.12.0,0.12.0
databricks-ai-bridge,databricks-mcp,dependencies,mcp,>=1.13.0,1.13.0
databricks-ai-bridge,agent-obo-test,dependencies,mlflow,>=3.9.0,3.9.0
databricks-ai-bridge,databricks-dspy,dependencies,mlflow,>=3.0.0,3.0.0
databricks-ai-bridge,databricks-langchain,dependencies,mlflow,>=3.0.0,3.0.0
databricks-ai-bridge,databricks-mcp,dependencies,mlflow,>=3.1,
databricks-ai-bridge,databricks-openai,dependencies,mlflow,>=3.10.1,3.10.1
databricks-ai-bridge,databricks-ai-bridge,dependencies,mlflow-skinny,>=2.19.0,2.19.0
databricks-ai-bridge,databricks-langchain,dependencies,openai,>=1.99.9,1.99.9
databricks-ai-bridge,databricks-openai,dependencies,openai,>=1.99.9,1.99.9
databricks-ai-bridge,agent-obo-test,dependencies,openai-agents,>=0.4.1,0.4.1
databricks-ai-bridge,databricks-openai,dependencies,openai-agents,>=0.5.0,0.5.0
databricks-ai-bridge,databricks-ai-bridge,dependencies,pandas,>=2.2.0,2.2.0
databricks-ai-bridge,databricks-ai-bridge,dependencies,pydantic,>=2.10.0,2.10.0
databricks-ai-bridge,databricks-langchain,dependencies,pydantic,>2.10.0,2.10.0
databricks-ai-bridge,databricks-openai,dependencies,pydantic,>2.10.0,2.10.0
